o_id,o_w_id,o_d_id,o_c_id,o_carrier_id,o_ol_cnt,o_all_local,o_entry_d
1,1,1,628,7,7,1,2018-10-20 21:31:57
2,1,1,1961,3,7,1,2018-10-20 21:31:57
3,1,1,1542,3,8,1,2018-10-20 21:31:57
4,1,1,629,1,5,1,2018-10-20 21:31:57
5,1,1,2910,7,13,1,2018-10-20 21:31:57
6,1,1,1633,3,9,1,2018-10-20 21:31:57
7,1,1,2225,4,8,1,2018-10-20 21:31:57
8,1,1,974,8,8,1,2018-10-20 21:31:57
9,1,1,2154,1,14,1,2018-10-20 21:31:57
10,1,1,2263,2,11,1,2018-10-20 21:31:57
11,1,1,497,4,15,1,2018-10-20 21:31:57
12,1,1,648,6,14,1,2018-10-20 21:31:57
13,1,1,220,7,15,1,2018-10-20 21:31:57
14,1,1,2404,9,5,1,2018-10-20 21:31:57
15,1,1,2925,6,11,1,2018-10-20 21:31:57
16,1,1,20,2,11,1,2018-10-20 21:31:57
17,1,1,486,6,10,1,2018-10-20 21:31:57
18,1,1,499,9,8,1,2018-10-20 21:31:57
19,1,1,1771,4,9,1,2018-10-20 21:31:57
20,1,1,2629,7,13,1,2018-10-20 21:31:57
21,1,1,2937,10,8,1,2018-10-20 21:31:57
22,1,1,1024,2,10,1,2018-10-20 21:31:57
23,1,1,960,7,11,1,2018-10-20 21:31:57
24,1,1,2437,4,15,1,2018-10-20 21:31:57
25,1,1,427,9,8,1,2018-10-20 21:31:57
26,1,1,2435,4,6,1,2018-10-20 21:31:57
27,1,1,910,1,11,1,2018-10-20 21:31:57
28,1,1,335,9,10,1,2018-10-20 21:31:57
29,1,1,1106,5,10,1,2018-10-20 21:31:57
30,1,1,1271,9,7,1,2018-10-20 21:31:57
31,1,1,1907,2,8,1,2018-10-20 21:31:57
32,1,1,2710,8,12,1,2018-10-20 21:31:57
33,1,1,2741,3,8,1,2018-10-20 21:31:57
34,1,1,518,10,15,1,2018-10-20 21:31:57
35,1,1,1722,6,11,1,2018-10-20 21:31:57
36,1,1,1508,4,6,1,2018-10-20 21:31:57
37,1,1,777,8,13,1,2018-10-20 21:31:57
38,1,1,2345,3,10,1,2018-10-20 21:31:57
39,1,1,2967,8,10,1,2018-10-20 21:31:57
40,1,1,1651,7,10,1,2018-10-20 21:31:57
41,1,1,669,10,15,1,2018-10-20 21:31:57
42,1,1,1699,10,10,1,2018-10-20 21:31:57
43,1,1,2750,3,6,1,2018-10-20 21:31:57
44,1,1,2461,5,13,1,2018-10-20 21:31:57
45,1,1,1514,10,15,1,2018-10-20 21:31:57
46,1,1,2557,3,14,1,2018-10-20 21:31:57
47,1,1,948,4,15,1,2018-10-20 21:31:57
48,1,1,2350,7,11,1,2018-10-20 21:31:57
49,1,1,530,6,8,1,2018-10-20 21:31:57
50,1,1,2262,5,5,1,2018-10-20 21:31:57
51,1,1,2081,4,5,1,2018-10-20 21:31:57
52,1,1,794,9,15,1,2018-10-20 21:31:57
53,1,1,815,8,11,1,2018-10-20 21:31:57
54,1,1,2962,7,13,1,2018-10-20 21:31:57
55,1,1,1587,7,5,1,2018-10-20 21:31:57
56,1,1,1801,4,14,1,2018-10-20 21:31:57
57,1,1,1112,2,6,1,2018-10-20 21:31:57
58,1,1,181,9,15,1,2018-10-20 21:31:57
59,1,1,2588,9,15,1,2018-10-20 21:31:57
60,1,1,1766,10,15,1,2018-10-20 21:31:57
61,1,1,974,5,14,1,2018-10-20 21:31:57
62,1,1,823,9,13,1,2018-10-20 21:31:57
63,1,1,2905,1,12,1,2018-10-20 21:31:57
64,1,1,2774,7,9,1,2018-10-20 21:31:57
65,1,1,1593,4,12,1,2018-10-20 21:31:57
66,1,1,2144,7,9,1,2018-10-20 21:31:57
67,1,1,1235,3,15,1,2018-10-20 21:31:57
68,1,1,1591,3,14,1,2018-10-20 21:31:57
69,1,1,2331,6,9,1,2018-10-20 21:31:57
70,1,1,2560,4,15,1,2018-10-20 21:31:57
71,1,1,502,10,12,1,2018-10-20 21:31:57
72,1,1,526,4,8,1,2018-10-20 21:31:57
73,1,1,906,7,8,1,2018-10-20 21:31:57
74,1,1,619,7,10,1,2018-10-20 21:31:57
75,1,1,2567,10,12,1,2018-10-20 21:31:57
76,1,1,2383,10,13,1,2018-10-20 21:31:57
77,1,1,179,7,10,1,2018-10-20 21:31:57
78,1,1,2396,4,15,1,2018-10-20 21:31:57
79,1,1,929,10,14,1,2018-10-20 21:31:57
80,1,1,1743,9,12,1,2018-10-20 21:31:57
81,1,1,1089,8,7,1,2018-10-20 21:31:57
82,1,1,1871,5,14,1,2018-10-20 21:31:57
83,1,1,2949,10,10,1,2018-10-20 21:31:57
84,1,1,1725,7,8,1,2018-10-20 21:31:57
85,1,1,1948,10,12,1,2018-10-20 21:31:57
86,1,1,490,8,6,1,2018-10-20 21:31:57
87,1,1,736,2,11,1,2018-10-20 21:31:57
88,1,1,675,9,15,1,2018-10-20 21:31:57
89,1,1,1075,1,14,1,2018-10-20 21:31:57
90,1,1,1339,3,12,1,2018-10-20 21:31:57
91,1,1,1729,5,11,1,2018-10-20 21:31:57
92,1,1,2277,1,9,1,2018-10-20 21:31:57
93,1,1,1795,1,11,1,2018-10-20 21:31:57
94,1,1,1545,3,15,1,2018-10-20 21:31:57
95,1,1,1694,5,12,1,2018-10-20 21:31:57
96,1,1,774,7,9,1,2018-10-20 21:31:57
97,1,1,1867,9,10,1,2018-10-20 21:31:57
98,1,1,1868,2,9,1,2018-10-20 21:31:57
99,1,1,2830,2,13,1,2018-10-20 21:31:57
100,1,1,1233,8,12,1,2018-10-20 21:31:57
101,1,1,1371,8,7,1,2018-10-20 21:31:57
102,1,1,157,7,12,1,2018-10-20 21:31:57
103,1,1,2176,6,12,1,2018-10-20 21:31:57
104,1,1,1732,9,9,1,2018-10-20 21:31:57
105,1,1,2763,9,14,1,2018-10-20 21:31:57
106,1,1,1041,8,9,1,2018-10-20 21:31:57
107,1,1,1049,6,7,1,2018-10-20 21:31:57
108,1,1,2034,3,11,1,2018-10-20 21:31:57
109,1,1,159,6,8,1,2018-10-20 21:31:57
110,1,1,1721,10,11,1,2018-10-20 21:31:57
111,1,1,2941,1,10,1,2018-10-20 21:31:57
112,1,1,2533,3,9,1,2018-10-20 21:31:57
113,1,1,2400,5,7,1,2018-10-20 21:31:57
114,1,1,2513,1,5,1,2018-10-20 21:31:57
115,1,1,2645,2,7,1,2018-10-20 21:31:57
116,1,1,485,7,15,1,2018-10-20 21:31:57
117,1,1,2231,1,13,1,2018-10-20 21:31:57
118,1,1,2140,8,12,1,2018-10-20 21:31:57
119,1,1,2096,9,11,1,2018-10-20 21:31:57
120,1,1,2549,8,11,1,2018-10-20 21:31:57
121,1,1,236,8,14,1,2018-10-20 21:31:57
122,1,1,1330,2,7,1,2018-10-20 21:31:57
123,1,1,1002,3,7,1,2018-10-20 21:31:57
124,1,1,2292,10,8,1,2018-10-20 21:31:57
125,1,1,1951,9,10,1,2018-10-20 21:31:57
126,1,1,2495,5,13,1,2018-10-20 21:31:57
127,1,1,2864,10,12,1,2018-10-20 21:31:57
128,1,1,486,6,12,1,2018-10-20 21:31:57
129,1,1,555,10,7,1,2018-10-20 21:31:57
130,1,1,513,1,5,1,2018-10-20 21:31:57
131,1,1,1761,2,5,1,2018-10-20 21:31:57
132,1,1,159,6,6,1,2018-10-20 21:31:57
133,1,1,484,6,9,1,2018-10-20 21:31:57
134,1,1,1444,3,13,1,2018-10-20 21:31:57
135,1,1,1062,10,15,1,2018-10-20 21:31:57
136,1,1,781,3,15,1,2018-10-20 21:31:57
137,1,1,1016,5,8,1,2018-10-20 21:31:57
138,1,1,2630,4,11,1,2018-10-20 21:31:57
139,1,1,1625,4,12,1,2018-10-20 21:31:57
140,1,1,1103,9,11,1,2018-10-20 21:31:57
141,1,1,875,9,5,1,2018-10-20 21:31:57
142,1,1,694,3,12,1,2018-10-20 21:31:57
143,1,1,1055,5,15,1,2018-10-20 21:31:57
144,1,1,373,6,15,1,2018-10-20 21:31:57
145,1,1,2728,2,11,1,2018-10-20 21:31:57
146,1,1,2243,9,6,1,2018-10-20 21:31:57
147,1,1,2059,5,15,1,2018-10-20 21:31:57
148,1,1,1420,7,11,1,2018-10-20 21:31:57
149,1,1,1311,4,6,1,2018-10-20 21:31:57
150,1,1,1039,9,10,1,2018-10-20 21:31:57
151,1,1,512,3,9,1,2018-10-20 21:31:57
152,1,1,1576,10,15,1,2018-10-20 21:31:57
153,1,1,2263,6,9,1,2018-10-20 21:31:57
154,1,1,1302,1,15,1,2018-10-20 21:31:57
155,1,1,1576,6,11,1,2018-10-20 21:31:57
156,1,1,2485,8,15,1,2018-10-20 21:31:57
157,1,1,1198,3,11,1,2018-10-20 21:31:57
158,1,1,660,3,8,1,2018-10-20 21:31:57
159,1,1,2459,6,7,1,2018-10-20 21:31:57
160,1,1,2027,5,10,1,2018-10-20 21:31:57
161,1,1,1444,10,8,1,2018-10-20 21:31:57
162,1,1,2347,3,14,1,2018-10-20 21:31:57
163,1,1,1643,9,13,1,2018-10-20 21:31:57
164,1,1,2167,7,12,1,2018-10-20 21:31:57
165,1,1,2502,5,13,1,2018-10-20 21:31:57
166,1,1,2150,8,11,1,2018-10-20 21:31:57
167,1,1,2806,4,8,1,2018-10-20 21:31:57
168,1,1,1335,10,8,1,2018-10-20 21:31:57
169,1,1,1732,8,7,1,2018-10-20 21:31:57
170,1,1,1804,3,8,1,2018-10-20 21:31:57
171,1,1,2605,2,14,1,2018-10-20 21:31:57
172,1,1,1606,9,8,1,2018-10-20 21:31:57
173,1,1,1889,1,10,1,2018-10-20 21:31:57
174,1,1,2141,2,13,1,2018-10-20 21:31:57
175,1,1,2772,9,11,1,2018-10-20 21:31:57
176,1,1,2118,7,9,1,2018-10-20 21:31:57
177,1,1,2940,6,15,1,2018-10-20 21:31:57
178,1,1,353,9,11,1,2018-10-20 21:31:57
179,1,1,2145,10,9,1,2018-10-20 21:31:57
180,1,1,1351,8,6,1,2018-10-20 21:31:57
181,1,1,1095,10,8,1,2018-10-20 21:31:57
182,1,1,2200,7,14,1,2018-10-20 21:31:57
183,1,1,733,6,12,1,2018-10-20 21:31:57
184,1,1,273,9,6,1,2018-10-20 21:31:57
185,1,1,1969,4,14,1,2018-10-20 21:31:57
186,1,1,864,1,9,1,2018-10-20 21:31:57
187,1,1,2285,10,8,1,2018-10-20 21:31:57
188,1,1,2903,10,14,1,2018-10-20 21:31:57
189,1,1,1745,6,13,1,2018-10-20 21:31:57
190,1,1,1020,3,13,1,2018-10-20 21:31:57
191,1,1,2952,9,6,1,2018-10-20 21:31:57
192,1,1,2024,1,11,1,2018-10-20 21:31:57
193,1,1,1408,4,5,1,2018-10-20 21:31:57
194,1,1,502,4,13,1,2018-10-20 21:31:57
195,1,1,2751,5,12,1,2018-10-20 21:31:57
196,1,1,2223,4,6,1,2018-10-20 21:31:57
197,1,1,2977,8,5,1,2018-10-20 21:31:57
198,1,1,2919,3,15,1,2018-10-20 21:31:57
199,1,1,587,9,11,1,2018-10-20 21:31:57
200,1,1,1273,7,5,1,2018-10-20 21:31:57
201,1,1,1635,3,13,1,2018-10-20 21:31:57
202,1,1,1444,1,12,1,2018-10-20 21:31:57
203,1,1,2599,2,8,1,2018-10-20 21:31:57
204,1,1,2906,9,12,1,2018-10-20 21:31:57
205,1,1,1939,7,5,1,2018-10-20 21:31:57
206,1,1,676,5,14,1,2018-10-20 21:31:57
207,1,1,497,8,9,1,2018-10-20 21:31:57
208,1,1,2551,6,13,1,2018-10-20 21:31:57
209,1,1,299,9,8,1,2018-10-20 21:31:57
210,1,1,2085,10,8,1,2018-10-20 21:31:57
211,1,1,1403,4,5,1,2018-10-20 21:31:57
212,1,1,2078,2,9,1,2018-10-20 21:31:57
213,1,1,628,7,13,1,2018-10-20 21:31:57
214,1,1,1717,4,7,1,2018-10-20 21:31:57
215,1,1,1567,4,6,1,2018-10-20 21:31:57
216,1,1,488,7,8,1,2018-10-20 21:31:57
217,1,1,1953,8,14,1,2018-10-20 21:31:57
218,1,1,922,1,6,1,2018-10-20 21:31:57
219,1,1,2498,10,15,1,2018-10-20 21:31:57
220,1,1,930,9,5,1,2018-10-20 21:31:57
221,1,1,2505,6,5,1,2018-10-20 21:31:57
222,1,1,2204,4,9,1,2018-10-20 21:31:57
223,1,1,295,1,9,1,2018-10-20 21:31:57
224,1,1,2261,1,7,1,2018-10-20 21:31:57
225,1,1,2028,2,13,1,2018-10-20 21:31:57
226,1,1,2664,7,15,1,2018-10-20 21:31:57
227,1,1,2628,9,12,1,2018-10-20 21:31:57
228,1,1,1076,4,9,1,2018-10-20 21:31:57
229,1,1,1307,6,15,1,2018-10-20 21:31:57
